month,temp
0.998, 1.624
1.2765, 1.024
2.1236, 0.9879
2.4253, 5.0927
2.959, 2.0307
2.8662, 2.6229
2.9475, 3.3057
3.0172, 3.793
3.2028, 2.3145
3.1564, 3.5909
3.3769, 2.7972
3.3189, 4.6625
3.4001, 5.5413
3.4001, 6.6198
3.5161, 3.5756
3.5045, 4.2624
3.551, 5.3388
3.6554, 5.3344
3.7366, 5.7231
3.8178, 5.9157
3.9919, 5.222
4.5257, 10.3953
5.0363, 11.55
5.0131, 12.6294
5.0594, 14.8824
5.0711, 16.4505
5.2916, 12.8136
5.3729, 12.5161
5.28, 11.1475
5.28, 10.6573
5.3729, 11.0455
5.4425, 11.1406
5.6165, 12.4076
5.5469, 14.8616
5.6049, 16.1336
5.7326, 15.3439
5.8718, 15.632
5.7094, 17.5017
5.779, 17.8909
5.6049, 19.0748
6.0343, 15.8212
5.9995, 17.3913
6.0691, 17.7805
6.1271, 17.1898
6.1504, 16.6985
6.0111, 19.6457
6.0807, 18.6623
6.162, 18.7569
5.9879, 21.4114
6.4115, 16.7854
6.4637, 17.7637
6.2548, 20.2236
6.1387, 20.6207
6.162, 21.2079
6.4521, 19.725
6.3244, 20.9069
6.278, 22.5755
6.3708, 21.7873
6.4521, 22.0779
6.6609, 19.0298
6.6493, 19.9125
6.7654, 19.9077
6.4985, 20.7034
6.6145, 20.6004
6.6726, 21.4803
6.5101, 22.8598
6.6145, 22.9533
6.6958, 22.1656
6.8234, 21.0817
6.8814, 21.9616
6.8582, 23.041
6.8234, 23.8268
7.1019, 21.0698
7.2064, 20.6732
6.9859, 22.9375
7.0207, 23.6223
7.0787, 24.5022
7.1948, 23.4188
7.2296, 23.9075
7.2876, 24.8854
7.3572, 25.3727
7.2296, 22.535
7.2992, 21.7477
7.3688, 22.0388
7.4849, 23.8965
7.4965, 23.1118
7.5312, 22.326
7.5661, 24.8736
7.6125, 24.1853
7.6009, 23.8917
7.6009, 20.4603
7.6473, 21.7328
7.6473, 23.3014
7.7866, 24.6681
7.775, 26.1392
7.7402, 22.5131
7.8561, 22.5083
7.9839, 22.4048
7.9374, 23.5832
7.9489, 24.8572
7.9489, 26.0337
7.9955, 26.5219
8.1463, 26.0253
8.0535, 25.5391
8.1463, 22.4959
8.2624, 23.7654
8.4248, 24.7389
8.4828, 24.9325
8.4945, 24.3437
8.3668, 23.4668
8.3436, 22.5855
8.4248, 22.9742
8.4828, 22.6776
8.332, 21.0174
8.39, 20.5247
8.5409, 21.1065
8.8077, 23.154
8.831, 22.2706
8.773, 21.4888
8.7962, 20.7035
8.6917, 20.1197
8.9818, 21.8719
9.1095, 22.5529
9.0747, 21.672
9.1095, 20.592
9.0166, 19.8117
9.1095, 19.8077
9.2719, 20.9773
9.2255, 19.9989
9.33, 19.7003
9.1675, 18.4328
9.7593, 18.0154
9.8521, 17.6193
10.2814, 15.8363
10.3976, 15.047
11.5, 11.4706
11.6044, 10.5838
11.9874, 8.0184
12.0454, 7.7218
12.0802, 6.4459
12.1731, 6.638
