,organism,log_abundance,time,log_sigma
0,N,10.273169685027614,3,0.6
1,N,10.30875330744143,4,0.6
2,N,9.907615022799368,5,0.6
3,N,9.577167210611142,6,0.6
4,N,9.368779841781793,7,0.6
5,N,8.04182479751976,8,0.6
6,N,7.186174584154733,9,0.6
7,N,8.006340900628018,10,0.6
8,N,8.131995308544266,11,0.6
9,P,6.988367055474525,3,0.6
10,P,7.052012320634882,4,0.6
11,P,5.931992900984548,5,0.6
12,P,6.225716669147606,6,0.6
13,P,5.485859853867768,7,0.6
14,P,5.3223587915520305,8,0.6
15,P,5.753444005107488,9,0.6
16,P,6.172793934781564,10,0.6
17,P,6.625961436826808,11,0.6
18,P1,0.7168811456412817,3,0.6
19,P1,1.117714390541596,4,0.6
20,P1,1.0696247517948572,5,0.6
21,P1,1.4811580126738846,6,0.6
22,P1,1.8673968834336747,7,0.6
23,P1,2.830815513573892,8,0.6
24,P1,2.642724068292678,9,0.6
25,P1,1.692465172884855,10,0.6
26,P1,1.3602895039845624,11,0.6
27,P2,-4.11966237020639,3,0.6
28,P2,-3.3524072174927233,4,0.6
29,P2,-2.8134107167600364,5,0.6
30,P2,-2.607074283762208,6,0.6
31,P2,-0.8615658321849086,7,0.6
32,P2,1.2960960932017418,8,0.6
33,P2,1.247032293786383,9,0.6
34,P2,-1.7573580425107227,10,0.6
35,P2,-4.199705077879927,11,0.6
36,Z,-2.9045344593670066,3,0.6
37,Z,-2.083193863776075,4,0.6
38,Z,-0.10670914362933479,8,0.6
